customerID,proba_churn,priorite,action_recommandee,tenure,Contract,PaymentMethod,MonthlyCharges,TechSupport,OnlineSecurity,InternetService
7024-OHCCK,0.7987,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,93.85,No,No,Fiber optic
5150-ITWWB,0.7984,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,94.85,No,No,Fiber optic
5192-EBGOV,0.7957,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,85.7,No,No,Fiber optic
2545-EBUPK,0.7903,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,84.05,No,No,Fiber optic
6567-HOOPW,0.7894,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,79.2,No,No,Fiber optic
3551-HUAZH,0.7846,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,74.4,No,No,Fiber optic
4826-XTSOH,0.7835,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,86.05,No,No,Fiber optic
9603-OAIHC,0.7803,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,70.05,No,No,Fiber optic
5804-LEPIM,0.7752,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,70.35,No,No,Fiber optic
5276-KQWHG,0.7742,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,69.6,No,No,Fiber optic
4102-OQUPX,0.7716,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,74.4,No,No,Fiber optic
2123-AGEEN,0.7681,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,7,Month-to-month,Electronic check,84.35,No,No,Fiber optic
4086-YQSNZ,0.7672,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,3,Month-to-month,Electronic check,80.4,No,No,Fiber optic
9799-CAYJJ,0.7613,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,2,Month-to-month,Electronic check,69.3,No,No,Fiber optic
7274-RTAPZ,0.7592,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,90.55,No,No,Fiber optic
1455-ESIQH,0.7577,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,89.1,No,No,Fiber optic
0196-VULGZ,0.7563,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Electronic check,84.35,No,No,Fiber optic
9957-YODKZ,0.7526,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,6,Month-to-month,Electronic check,80.8,No,No,Fiber optic
2004-OCQXK,0.7498,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,1,Month-to-month,Electronic check,81.95,No,No,Fiber optic
2688-BHGOG,0.7497,P1 - Appel immediat,Proposer migration vers contrat 1 an avec remise,9,Month-to-month,Electronic check,79.55,No,No,Fiber optic
